,NODE_ID_left,LATITUDE_left,LONGITUDE_left,geometry,demand,LMP,gen,index_right,NODE_ID_right,LATITUDE_right,LONGITUDE_right
5109,13640,30.971111,-97.512697,POINT (-10855063.775918776 3628997.924856271),1,0,0,3891,STATION3892,30.971238155000023,-97.5130358659996
61,126,31.063779,-97.438882,POINT (-10846846.727705872 3641034.83357654),0,0,0,3784,STATION3785,31.063990444000087,-97.44036264999987
62,127,30.62004738,-97.21109286,POINT (-10821489.35663283 3583502.750039949),1,0,0,3779,STATION3780,30.620054955999993,-97.21110652500023
2517,3659,30.62004738,-97.21109286,POINT (-10821489.35663283 3583502.750039949),1,0,0,3779,STATION3780,30.620054955999993,-97.21110652500023
63,128,31.05591243,-97.7570313,POINT (-10882262.945778105 3640012.5675813416),0,0,0,5026,STATION5027,31.063054499000028,-97.76838187400003
2326,3423,31.06299706,-97.76857006,POINT (-10883547.434665691 3640933.2161703985),0,0,0,5026,STATION5027,31.063054499000028,-97.76838187400003
2330,3428,31.06303818,-97.76843566,POINT (-10883532.47332613 3640938.5599198784),1,0,0,5026,STATION5027,31.063054499000028,-97.76838187400003
9220,703428,31.06303818,-97.76843566,POINT (-10883532.47332613 3640938.5599198784),0,0,0,5026,STATION5027,31.063054499000028,-97.76838187400003
64,130,31.082642,-97.288167,POINT (-10830069.210650962 3643486.437456322),0,0,0,4880,STATION4881,31.080946564000072,-97.28242358799996
65,131,31.082642,-97.288167,POINT (-10830069.210650962 3643486.437456322),0,0,0,4880,STATION4881,31.080946564000072,-97.28242358799996
66,132,31.00456529,-97.25960297,POINT (-10826889.477376359 3633342.0473882407),0,0,0,5487,STATION5488,31.00263758000001,-97.25870367299959
67,133,31.00456529,-97.25960297,POINT (-10826889.477376359 3633342.0473882407),0,0,0,5487,STATION5488,31.00263758000001,-97.25870367299959
68,136,31.00632,-97.67626,POINT (-10873271.525791395 3633569.942892544),1,0,0,5048,STATION5049,31.00784902300013,-97.68153588400034
70,139,31.14143939,-97.43411619,POINT (-10846316.200163452 3651131.3955877195),0,0,0,3038,STATION3039,31.141439385000083,-97.4341161889997
2483,3624,31.14143939,-97.43411619,POINT (-10846316.200163452 3651131.3955877195),1,0,0,3038,STATION3039,31.141439385000083,-97.4341161889997
71,140,32.10826043,-96.48063935,POINT (-10740175.643851474 3777529.895285018),1,0,0,4998,STATION4999,32.10850300000001,-96.4707979999995
101,200,32.113592,-96.482099,POINT (-10740338.13134621 3778230.595692491),1,0,0,4998,STATION4999,32.10850300000001,-96.4707979999995
2350,3455,32.113592,-96.482099,POINT (-10740338.13134621 3778230.595692491),1,0,0,4998,STATION4999,32.10850300000001,-96.4707979999995
2351,3456,32.106389,-96.480127,POINT (-10740118.609310364 3777283.9527128465),1,0,0,4998,STATION4999,32.10850300000001,-96.4707979999995
75,146,31.38042492,-97.2786375,POINT (-10829008.391563447 3682253.7404608624),1,0,0,5039,STATION5040,31.38043472400001,-97.2786284870002
2454,3593,31.38042492,-97.2786375,POINT (-10829008.391563447 3682253.7404608624),0,0,0,5039,STATION5040,31.38043472400001,-97.2786284870002
76,147,31.35243,-97.23081,POINT (-10823684.258617532 3678603.9675213317),1,0,0,3006,STATION3007,31.355317461000038,-97.21290766800017
2440,3578,31.35243,-97.23081,POINT (-10823684.258617532 3678603.9675213317),1,0,0,3006,STATION3007,31.355317461000038,-97.21290766800017
77,149,31.41985032,-97.64538307,POINT (-10869834.321666535 3687395.58093723),0,0,0,1798,STATION1799,31.425803000000023,-97.67767799999963
80,157,31.378522,-97.621476,POINT (-10867172.998807777 3682005.617225146),1,0,0,2761,STATION2762,31.378603000000087,-97.62154899999994
2444,3583,31.378522,-97.621476,POINT (-10867172.998807777 3682005.617225146),0,0,0,2761,STATION2762,31.378603000000087,-97.62154899999994
2448,3587,31.378522,-97.621476,POINT (-10867172.998807777 3682005.617225146),1,0,0,2761,STATION2762,31.378603000000087,-97.62154899999994
5421,37550,31.378522,-97.621476,POINT (-10867172.998807777 3682005.617225146),1,0,0,2761,STATION2762,31.378603000000087,-97.62154899999994
5422,37570,31.378522,-97.621476,POINT (-10867172.998807777 3682005.617225146),1,0,0,2761,STATION2762,31.378603000000087,-97.62154899999994
81,158,31.53549679,-97.79756623,POINT (-10886775.273545047 3702490.6211558776),0,0,0,3209,STATION3210,31.535601663000122,-97.79774533299992
82,161,31.444294,-97.427212,POINT (-10845547.629248312 3690584.598551685),1,0,0,4164,STATION4165,31.44207661100009,-97.42576131699954
2447,3586,31.444294,-97.427212,POINT (-10845547.629248312 3690584.598551685),0,0,0,4164,STATION4165,31.44207661100009,-97.42576131699954
2450,3589,31.444294,-97.427212,POINT (-10845547.629248312 3690584.598551685),0,0,0,4164,STATION4165,31.44207661100009,-97.42576131699954
83,165,31.49947,-97.308884,POINT (-10832375.416541725 3697786.1344853756),0,0,0,3302,STATION3303,31.50780786000012,-97.30089926999997
84,169,31.49947,-97.308884,POINT (-10832375.416541725 3697786.1344853756),1,0,0,3302,STATION3303,31.50780786000012,-97.30089926999997
85,170,31.42790893,-97.31751033,POINT (-10833335.69520474 3688446.8466864973),1,0,0,769,STATION770,31.427940727000095,-97.31748832700013
86,173,31.537607,-97.40705,POINT (-10843303.205674939 3702766.234984848),1,0,0,2709,STATION2710,31.500823007000104,-97.41638378800025
87,175,31.65104,-97.30854,POINT (-10832337.122636892 3717590.8664292097),1,0,0,2900,STATION2901,31.671114612000004,-97.30423762500007
2456,3595,31.65104,-97.30854,POINT (-10832337.122636892 3717590.8664292097),1,0,0,2900,STATION2901,31.671114612000004,-97.30423762500007
88,177,31.660002,-97.38065,POINT (-10840364.371117996 3718762.8862466314),1,0,0,5127,STATION5128,31.687260000000027,-97.37473200000017
133,246,31.68586881,-97.37505246,POINT (-10839741.255815502 3722146.2937235734),0,1,0,5127,STATION5128,31.687260000000027,-97.37473200000017
8432,152231,31.660002,-97.38065,POINT (-10840364.371117996 3718762.8862466314),0,0,0,5127,STATION5128,31.687260000000027,-97.37473200000017
90,181,31.81915,-97.396532,POINT (-10842132.347270774 3739594.5955169713),1,0,0,4732,STATION4733,31.851999170000127,-97.37942120999996
132,243,31.864442,-97.418497,POINT (-10844577.47988605 3745529.65702051),0,0,0,4732,STATION4733,31.851999170000127,-97.37942120999996
5411,37410,31.864442,-97.418497,POINT (-10844577.47988605 3745529.65702051),0,0,0,4732,STATION4733,31.851999170000127,-97.37942120999996
5412,37420,31.864442,-97.418497,POINT (-10844577.47988605 3745529.65702051),1,0,0,4732,STATION4733,31.851999170000127,-97.37942120999996
91,185,32.03968249,-96.82119622,POINT (-10778086.261206023 3768520.6985008023),1,0,0,3695,STATION3696,32.02136704299996,-96.8115754769999
100,198,32.053609,-96.796052,POINT (-10775287.21943923 3770349.7004116485),1,0,0,3695,STATION3696,32.02136704299996,-96.8115754769999
2359,3464,32.03068,-96.8208,POINT (-10778042.154197382 3767338.5279856613),1,0,0,3695,STATION3696,32.02136704299996,-96.8115754769999
92,186,31.99727,-96.37489,POINT (-10728403.680057753 3762952.277556537),0,0,0,3203,STATION3204,32.00136075500012,-96.37573777299981
2296,3387,31.99727,-96.37489,POINT (-10728403.680057753 3762952.277556537),0,0,0,3203,STATION3204,32.00136075500012,-96.37573777299981
2369,3476,31.99727,-96.37489,POINT (-10728403.680057753 3762952.277556537),0,0,0,3203,STATION3204,32.00136075500012,-96.37573777299981
2371,3478,31.99727,-96.37489,POINT (-10728403.680057753 3762952.277556537),0,0,0,3203,STATION3204,32.00136075500012,-96.37573777299981
2372,3479,31.99727,-96.37489,POINT (-10728403.680057753 3762952.277556537),0,0,0,3203,STATION3204,32.00136075500012,-96.37573777299981
2373,3480,32.01198,-96.35969,POINT (-10726711.623797696 3764883.2910581445),1,0,0,3203,STATION3204,32.00136075500012,-96.37573777299981
2374,3481,31.99727,-96.37489,POINT (-10728403.680057753 3762952.277556537),1,0,0,3203,STATION3204,32.00136075500012,-96.37573777299981
2379,3486,31.99727,-96.37489,POINT (-10728403.680057753 3762952.277556537),1,0,0,3203,STATION3204,32.00136075500012,-96.37573777299981
2384,3497,31.99727,-96.37489,POINT (-10728403.680057753 3762952.277556537),1,0,0,3203,STATION3204,32.00136075500012,-96.37573777299981
93,190,31.999995,-96.644092,POINT (-10758371.109618284 3763309.9708169755),1,0,0,2384,STATION2385,31.977999000000132,-96.64207
97,195,31.890178,-96.113556,POINT (-10699312.112250784 3748903.4004587443),1,0,0,307,STATION308,31.890153329999986,-96.11335001799972
2111,3133,31.89015246,-96.11334993,POINT (-10699289.172643317 3748900.0519417715),0,1,0,307,STATION308,31.890153329999986,-96.11335001799972
2112,3134,31.89015246,-96.11334993,POINT (-10699289.172643317 3748900.0519417715),0,1,1,307,STATION308,31.890153329999986,-96.11335001799972
98,196,31.758876,-96.182943,POINT (-10707036.237758456 3731700.8060341533),1,0,0,2865,STATION2866,31.77446224000012,-96.18014712300003
99,197,31.17940632,-96.49313092,POINT (-10741566.199063081 3656070.4529234027),1,0,0,4536,STATION4537,31.181891455,-96.48787884799971
1814,2725,31.17940632,-96.49313092,POINT (-10741566.199063081 3656070.4529234027),0,0,0,4536,STATION4537,31.181891455,-96.48787884799971
3508,6896,31.17940632,-96.49313092,POINT (-10741566.199063081 3656070.4529234027),0,0,0,4536,STATION4537,31.181891455,-96.48787884799971
7561,120131,31.17940632,-96.49313092,POINT (-10741566.199063081 3656070.4529234027),0,0,0,4536,STATION4537,31.181891455,-96.48787884799971
7562,120132,31.17940632,-96.49313092,POINT (-10741566.199063081 3656070.4529234027),0,0,0,4536,STATION4537,31.181891455,-96.48787884799971
7563,120133,31.17940632,-96.49313092,POINT (-10741566.199063081 3656070.4529234027),0,0,0,4536,STATION4537,31.181891455,-96.48787884799971
7564,120134,31.17940632,-96.49313092,POINT (-10741566.199063081 3656070.4529234027),0,1,1,4536,STATION4537,31.181891455,-96.48787884799971
7565,120135,31.17940632,-96.49313092,POINT (-10741566.199063081 3656070.4529234027),0,1,1,4536,STATION4537,31.181891455,-96.48787884799971
7566,120136,31.17940632,-96.49313092,POINT (-10741566.199063081 3656070.4529234027),0,0,0,4536,STATION4537,31.181891455,-96.48787884799971
102,201,32.46291189,-96.7997398,POINT (-10775697.743457377 3824229.57496703),1,0,0,4684,STATION4685,32.44140150000003,-96.83358235999984
103,202,32.313782,-96.70267,POINT (-10764891.982749972 3804570.2349559963),0,0,0,2495,STATION2496,32.31278079200008,-96.70381953800016
109,210,32.313782,-96.70267,POINT (-10764891.982749972 3804570.2349559963),1,0,0,2495,STATION2496,32.31278079200008,-96.70381953800016
104,203,32.445096,-96.845555,POINT (-10780797.868191969 3821879.251532127),1,0,0,1071,STATION1072,32.44451603099997,-96.84596164300032
1517,2317,32.445096,-96.845555,POINT (-10780797.868191969 3821879.251532127),1,0,0,1071,STATION1072,32.44451603099997,-96.84596164300032
1518,2318,32.445096,-96.845555,POINT (-10780797.868191969 3821879.251532127),0,0,0,1071,STATION1072,32.44451603099997,-96.84596164300032
105,204,32.62127927,-97.32717508,POINT (-10834411.570253385 3845142.3392588557),1,0,0,3207,STATION3208,32.61262871100013,-97.35303823099987
106,205,32.63439915,-97.35382063,POINT (-10837377.73931129 3846876.5055052503),0,0,0,2474,STATION2475,32.64782454499999,-97.34764592500005
1363,2093,32.63439915,-97.35382063,POINT (-10837377.73931129 3846876.5055052503),0,0,0,2474,STATION2475,32.64782454499999,-97.34764592500005
1397,2149,32.63439915,-97.35382063,POINT (-10837377.73931129 3846876.5055052503),0,0,0,2474,STATION2475,32.64782454499999,-97.34764592500005
1427,2190,32.647833,-97.347567,POINT (-10836681.588404082 3848652.435352359),1,0,0,2474,STATION2475,32.64782454499999,-97.34764592500005
1428,2191,32.647833,-97.347567,POINT (-10836681.588404082 3848652.435352359),1,0,0,2474,STATION2475,32.64782454499999,-97.34764592500005
1431,2194,32.63439915,-97.35382063,POINT (-10837377.73931129 3846876.5055052503),0,0,0,2474,STATION2475,32.64782454499999,-97.34764592500005
2216,3263,32.63439915,-97.35382063,POINT (-10837377.73931129 3846876.5055052503),1,0,0,2474,STATION2475,32.64782454499999,-97.34764592500005
2218,3265,32.63439915,-97.35382063,POINT (-10837377.73931129 3846876.5055052503),0,0,0,2474,STATION2475,32.64782454499999,-97.34764592500005
107,208,32.05594123,-96.25173788,POINT (-10714694.44876924 3770656.0249724695),1,0,0,4924,STATION4925,32.06922640099999,-96.22458052600027
2370,3477,32.05594123,-96.25173788,POINT (-10714694.44876924 3770656.0249724695),0,0,0,4924,STATION4925,32.06922640099999,-96.22458052600027
110,211,32.081293,-96.198524,POINT (-10708770.706744507 3773986.333376256),1,0,0,3643,STATION3644,32.06923064800001,-96.22458268899975
2376,3483,32.081293,-96.198524,POINT (-10708770.706744507 3773986.333376256),0,1,1,3643,STATION3644,32.06923064800001,-96.22458268899975
112,213,31.94269823,-96.53928912,POINT (-10746704.506383017 3755791.227464961),1,0,0,4237,STATION4238,31.963974287000042,-96.51831214999973
6709,68091,31.96397525,-96.51800381,POINT (-10744335.036512438 3758582.7472923384),0,1,1,4237,STATION4238,31.963974287000042,-96.51831214999973
113,214,32.457529,-96.73778,POINT (-10768800.410071723 3823519.3996401257),0,0,0,5028,STATION5029,32.45601870600012,-96.73681476499975
116,218,32.457529,-96.73778,POINT (-10768800.410071723 3823519.3996401257),1,0,0,5028,STATION5029,32.45601870600012,-96.73681476499975
114,216,32.366066,-96.661523,POINT (-10760311.519662302 3811458.982037443),1,0,0,5482,STATION5483,32.39216909999997,-96.66419729999973
1524,2325,32.366066,-96.661523,POINT (-10760311.519662302 3811458.982037443),1,0,0,5482,STATION5483,32.39216909999997,-96.66419729999973
115,217,32.531334,-96.851011,POINT (-10781405.227333738 3833260.341951143),1,0,0,1728,STATION1729,32.55779292100013,-96.84349338700002
117,220,32.61495686,-96.92458175,POINT (-10789595.085761018 3844306.743252893),1,0,0,2455,STATION2456,32.614956784000135,-96.92458178599983
149,280,32.61495686,-96.92458175,POINT (-10789595.085761018 3844306.743252893),1,0,0,2455,STATION2456,32.614956784000135,-96.92458178599983
1594,2420,32.61495686,-96.92458175,POINT (-10789595.085761018 3844306.743252893),0,0,0,2455,STATION2456,32.614956784000135,-96.92458178599983
1595,2421,32.61495686,-96.92458175,POINT (-10789595.085761018 3844306.743252893),0,0,0,2455,STATION2456,32.614956784000135,-96.92458178599983
1596,2422,32.61495686,-96.92458175,POINT (-10789595.085761018 3844306.743252893),0,0,0,2455,STATION2456,32.614956784000135,-96.92458178599983
2053,3046,32.61495686,-96.92458175,POINT (-10789595.085761018 3844306.743252893),0,0,0,2455,STATION2456,32.614956784000135,-96.92458178599983
2059,3053,32.61495686,-96.92458175,POINT (-10789595.085761018 3844306.743252893),1,0,0,2455,STATION2456,32.614956784000135,-96.92458178599983
2060,3054,32.61495686,-96.92458175,POINT (-10789595.085761018 3844306.743252893),1,0,0,2455,STATION2456,32.614956784000135,-96.92458178599983
2061,3055,32.61495686,-96.92458175,POINT (-10789595.085761018 3844306.743252893),0,0,0,2455,STATION2456,32.614956784000135,-96.92458178599983
2062,3056,32.61495686,-96.92458175,POINT (-10789595.085761018 3844306.743252893),1,0,0,2455,STATION2456,32.614956784000135,-96.92458178599983
2063,3057,32.61495686,-96.92458175,POINT (-10789595.085761018 3844306.743252893),1,0,0,2455,STATION2456,32.614956784000135,-96.92458178599983
2064,3058,32.61495686,-96.92458175,POINT (-10789595.085761018 3844306.743252893),0,0,0,2455,STATION2456,32.614956784000135,-96.92458178599983
4987,12419,32.61495686,-96.92458175,POINT (-10789595.085761018 3844306.743252893),0,0,0,2455,STATION2456,32.614956784000135,-96.92458178599983
5147,16421,32.61495686,-96.92458175,POINT (-10789595.085761018 3844306.743252893),0,0,0,2455,STATION2456,32.614956784000135,-96.92458178599983
118,221,32.49447,-96.741363,POINT (-10769199.267807238 3828393.953102072),1,0,0,2482,STATION2483,32.49439927000004,-96.74155985500002
119,222,32.49447,-96.741363,POINT (-10769199.267807238 3828393.953102072),0,0,0,2482,STATION2483,32.49439927000004,-96.74155985500002
2004,2967,32.49854044,-96.78617834,POINT (-10774188.088635765 3828931.190827897),1,0,0,2482,STATION2483,32.49439927000004,-96.74155985500002
2070,3068,32.49854044,-96.78617834,POINT (-10774188.088635765 3828931.190827897),1,0,0,2482,STATION2483,32.49439927000004,-96.74155985500002
120,223,32.52281893,-97.08843638,POINT (-10807835.299736736 3832136.0967033277),1,0,0,2559,STATION2560,32.551331899999965,-97.07730420999988
1225,1904,32.5513319,-97.07730421,POINT (-10806596.072240911 3835901.0851355433),1,0,0,2559,STATION2560,32.551331899999965,-97.07730420999988
1232,1911,32.5513319,-97.07730421,POINT (-10806596.072240911 3835901.0851355433),1,0,0,2559,STATION2560,32.551331899999965,-97.07730420999988
4899,11901,32.5513319,-97.07730421,POINT (-10806596.072240911 3835901.0851355433),1,0,0,2559,STATION2560,32.551331899999965,-97.07730420999988
121,224,32.156421,-97.154375,POINT (-10815175.55333875 3783860.8732709256),1,0,0,3048,STATION3049,32.156583689999984,-97.15508749200016
2407,3532,32.156421,-97.154375,POINT (-10815175.55333875 3783860.8732709256),1,0,0,3048,STATION3049,32.156583689999984,-97.15508749200016
123,228,31.972234,-97.260529,POINT (-10826992.562564418 3759666.4597642245),1,0,0,5106,STATION5107,31.95353200000002,-97.28435300000021
124,230,32.5980292,-96.60715442,POINT (-10754259.237021549 3842069.8036922636),0,0,0,2864,STATION2865,32.60861364200007,-96.64231456199994
2077,3081,32.5980292,-96.60715442,POINT (-10754259.237021549 3842069.8036922636),1,0,0,2864,STATION2865,32.60861364200007,-96.64231456199994
125,232,31.978215,-97.366542,POINT (-10838793.875741884 3760451.346951185),0,0,0,2826,STATION2827,31.973729682000116,-97.35806730100018
127,236,31.978215,-97.366542,POINT (-10838793.875741884 3760451.346951185),1,0,0,2826,STATION2827,31.973729682000116,-97.35806730100018
223,445,32.00622179,-97.36068818,POINT (-10838142.23148029 3764127.361476819),1,0,0,2826,STATION2827,31.973729682000116,-97.35806730100018
5345,33236,31.978215,-97.366542,POINT (-10838793.875741884 3760451.346951185),0,0,0,2826,STATION2827,31.973729682000116,-97.35806730100018
129,240,31.8667,-97.3712,POINT (-10839312.401929999 3745825.6215140414),0,0,0,800,STATION801,31.86459797800013,-97.37153892599967
131,242,31.8667,-97.3712,POINT (-10839312.401929999 3745825.6215140414),0,1,1,800,STATION801,31.86459797800013,-97.37153892599967
5375,36996,31.8667,-97.3712,POINT (-10839312.401929999 3745825.6215140414),0,0,0,800,STATION801,31.86459797800013,-97.37153892599967
5376,36997,31.8667,-97.3712,POINT (-10839312.401929999 3745825.6215140414),0,0,0,800,STATION801,31.86459797800013,-97.37153892599967
8205,150013,31.8667,-97.3712,POINT (-10839312.401929999 3745825.6215140414),0,0,0,800,STATION801,31.86459797800013,-97.37153892599967
130,241,31.86063144,-97.36531941,POINT (-10838657.777645634 3745030.2091297647),0,0,0,1327,STATION1328,31.860586295000065,-97.36521574800017
136,252,31.8605863,-97.36521575,POINT (-10838646.23826722 3745024.292779854),0,1,1,1327,STATION1328,31.860586295000065,-97.36521574800017
2419,3546,31.86063144,-97.36531941,POINT (-10838657.777645634 3745030.2091297647),0,0,0,1327,STATION1328,31.860586295000065,-97.36521574800017
8203,150011,31.86063144,-97.36531941,POINT (-10838657.777645634 3745030.2091297647),0,0,0,1327,STATION1328,31.860586295000065,-97.36521574800017
8204,150012,31.86063144,-97.36531941,POINT (-10838657.777645634 3745030.2091297647),0,0,0,1327,STATION1328,31.860586295000065,-97.36521574800017
135,250,31.40547,-97.695638,POINT (-10875428.674883988 3685519.856738416),0,0,0,4863,STATION4864,31.414578717999976,-97.70868841100044
