,NODE_ID,LATITUDE,LONGITUDE,geometry,demand_21,LMP_21,gen_21
2645,5335,29.357018,-98.601881,POINT (-98.601881 29.357018),1,0,0
2646,5345,29.41325998,-98.62344632,POINT (-98.62344632 29.41325998),1,0,0
2647,5346,29.44615841,-98.65743278,POINT (-98.65743278 29.44615841),1,0,0
2648,5350,29.373014,-98.556566,POINT (-98.556566 29.373014),1,0,0
2649,5355,29.39637442,-98.80805555,POINT (-98.80805555 29.39637442),1,0,0
2650,5358,29.61783609,-98.73599348,POINT (-98.73599348 29.61783609),1,0,0
2651,5360,29.543602,-98.290703,POINT (-98.290703 29.543602),1,0,0
2652,5362,29.59256533,-97.97389034,POINT (-97.97389034 29.59256533),0,1,1
2653,5363,29.69036068,-98.72815592,POINT (-98.72815592 29.69036068),0,0,0
2654,5368,29.58055911,-98.40877832,POINT (-98.40877832 29.58055911),0,0,0
2655,5369,29.58055906,-98.40877835,POINT (-98.40877835 29.58055906),1,0,0
2656,5370,29.58055906,-98.40877835,POINT (-98.40877835 29.58055906),1,0,0
2657,5371,29.58055911,-98.40877832,POINT (-98.40877832 29.58055911),0,0,0
2658,5373,29.580851,-98.408613,POINT (-98.408613 29.580851),0,0,0
2659,5374,29.580851,-98.408613,POINT (-98.408613 29.580851),0,0,0
2660,5375,29.580851,-98.408613,POINT (-98.408613 29.580851),0,0,0
2661,5378,29.326986,-98.5745535,POINT (-98.5745535 29.326986),1,0,0
2662,5385,29.367626,-98.53969,POINT (-98.53969 29.367626),1,0,0
2663,5390,29.24210703,-98.64943538,POINT (-98.64943538 29.24210703),1,0,0
2664,5394,29.31324012,-98.40926484,POINT (-98.40926484 29.31324012),1,0,0
2665,5395,29.3087,-98.322,POINT (-98.322 29.3087),0,1,1
2666,5400,29.31241732,-98.32037574,POINT (-98.32037574 29.31241732),0,1,1
2667,5410,29.427106,-98.396799,POINT (-98.396799 29.427106),1,0,0
2668,5412,29.089136,-98.097045,POINT (-98.097045 29.089136),0,0,0
2669,5415,29.661923,-98.455132,POINT (-98.455132 29.661923),1,0,0
2670,5417,29.27494,-98.365174,POINT (-98.365174 29.27494),1,0,0
2671,5418,29.26692945,-98.06397241,POINT (-98.06397241 29.26692945),1,0,0
2672,5419,29.43445,-98.61765,POINT (-98.61765 29.43445),1,1,1
2673,5420,29.432661,-98.479781,POINT (-98.479781 29.432661),1,0,0
2674,5421,29.52594894,-98.64943102,POINT (-98.64943102 29.52594894),0,0,0
2675,5422,29.5235467,-98.80990303,POINT (-98.80990303 29.5235467),1,0,0
2676,5423,29.44906546,-98.63941631,POINT (-98.63941631 29.44906546),1,0,0
2677,5427,29.39819481,-98.56891327,POINT (-98.56891327 29.39819481),1,0,0
2678,5428,29.26897902,-98.53724603,POINT (-98.53724603 29.26897902),1,0,0
2679,5429,29.21015038,-98.50460139,POINT (-98.50460139 29.21015038),1,0,0
2680,5430,29.42052371,-98.78775892,POINT (-98.78775892 29.42052371),1,0,0
2681,5435,29.529614,-98.418665,POINT (-98.418665 29.529614),0,0,0
2682,5445,29.61003734,-98.27088744,POINT (-98.27088744 29.61003734),1,0,0
2683,5453,29.533275,-98.576332,POINT (-98.576332 29.533275),1,0,0
2684,5455,29.533275,-98.576332,POINT (-98.576332 29.533275),0,0,0
2685,5456,29.533275,-98.576332,POINT (-98.576332 29.533275),1,0,0
2686,5460,29.586496,-98.625948,POINT (-98.625948 29.586496),1,0,0
2687,5461,29.586496,-98.625948,POINT (-98.625948 29.586496),0,0,0
2688,5462,29.586496,-98.625948,POINT (-98.625948 29.586496),0,0,0
2689,5465,29.238894,-98.429641,POINT (-98.429641 29.238894),1,0,0
2690,5467,29.47357591,-98.67852166,POINT (-98.67852166 29.47357591),1,0,0
2691,5470,29.79320329,-98.71288283,POINT (-98.71288283 29.79320329),1,0,0
2692,5475,29.25802034,-98.38270093,POINT (-98.38270093 29.25802034),0,1,0
2693,5485,29.50981,-98.369323,POINT (-98.369323 29.50981),1,0,0
2694,5488,29.47851086,-98.69807048,POINT (-98.69807048 29.47851086),1,0,0
2695,5490,29.35126277,-98.57597657,POINT (-98.57597657 29.35126277),1,0,0
2696,5500,28.89402335,-97.13433436,POINT (-97.13433436 28.89402335),0,1,1
2697,5502,28.89402335,-97.13433436,POINT (-97.13433436 28.89402335),0,1,1
2698,5504,28.891546,-97.105147,POINT (-97.105147 28.891546),1,0,0
2699,5510,28.95918828,-96.98345777,POINT (-96.98345777 28.95918828),0,0,0
2700,5513,28.89402335,-97.13433436,POINT (-97.13433436 28.89402335),0,1,0
2701,5514,28.88658,-96.82809,POINT (-96.82809 28.88658),1,0,0
2702,5516,28.84621414,-96.73696477,POINT (-96.73696477 28.84621414),0,0,0
2703,5518,28.95658279,-96.64612073,POINT (-96.64612073 28.95658279),0,0,0
2704,5520,28.89658279,-96.70612073,POINT (-96.70612073 28.89658279),1,0,0
2705,5522,28.95658279,-96.64612073,POINT (-96.64612073 28.95658279),1,0,0
2706,5523,29.10825018,-96.53619653,POINT (-96.53619653 29.10825018),1,0,0
2707,5524,29.07786053,-96.55411638,POINT (-96.55411638 29.07786053),1,0,0
2708,5525,29.01317324,-96.50271907,POINT (-96.50271907 29.01317324),0,0,0
2709,5526,29.01317113,-96.50271782,POINT (-96.50271782 29.01317113),1,0,0
2710,5528,29.133284,-96.419787,POINT (-96.419787 29.133284),1,0,0
2711,5530,29.263084,-96.528909,POINT (-96.528909 29.263084),0,0,0
